channel_id,threshold_id,decoder_policy_id,req_marginals_status,req_joint_status,req_parity_status,req_all_nontrivial_status,D_A_success,D_B_success,D_joint_success,D_parity_success,diagnostic_class,notes
asym_A_noisy_B_preserved_p_0_25,threshold_1_00,bayes_best_target_policy,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,0.75,1.0,0.75,0.75,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
asym_A_preserved_B_noisy_p_0_25,threshold_0_80,fixed_declared_target_policy,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,1.0,0.75,0.75,0.75,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
asym_A_preserved_B_noisy_p_0_25,threshold_0_80,bayes_best_target_policy,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,1.0,0.75,0.75,0.75,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
asym_A_preserved_B_noisy_p_0_25,threshold_0_90,fixed_declared_target_policy,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,1.0,0.75,0.75,0.75,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
asym_A_preserved_B_noisy_p_0_25,threshold_0_90,bayes_best_target_policy,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,1.0,0.75,0.75,0.75,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
asym_A_preserved_B_noisy_p_0_25,threshold_0_95,fixed_declared_target_policy,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,1.0,0.75,0.75,0.75,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
asym_A_preserved_B_noisy_p_0_25,threshold_0_95,bayes_best_target_policy,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,1.0,0.75,0.75,0.75,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
asym_A_preserved_B_noisy_p_0_25,threshold_0_99,fixed_declared_target_policy,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,1.0,0.75,0.75,0.75,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
asym_A_preserved_B_noisy_p_0_25,threshold_0_99,bayes_best_target_policy,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,1.0,0.75,0.75,0.75,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
asym_A_preserved_B_noisy_p_0_25,threshold_1_00,fixed_declared_target_policy,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,1.0,0.75,0.75,0.75,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
asym_A_preserved_B_noisy_p_0_25,threshold_1_00,bayes_best_target_policy,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,measurement_only_bayes_best,1.0,0.75,0.75,0.75,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
asym_B_erased_A_preserved,threshold_0_80,fixed_declared_target_policy,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,not_non_erasing_below_threshold,1.0,0.5,0.5,0.5,all_nontrivial_lost,finite stochastic thresholded recovery diagnostic only
