channel_id,registry_id,source_distinction_id,target_distinction_id,registry_policy,registered_recovery,declared_registered_recovery,recovery_provenance_class,working_decoder_id,working_decoder_json,decoder_count,registry_digest,manifest_bundle_digest,theorem_transfer_class
identity_channel,reg_declared_D_B_E_B,D_B,E_B,declared,1,1,declared_registered,dec_D_B_E_B_identity,"{""0"":""0"",""1"":""1""}",1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,declared_registered_recovery_ready
identity_channel,reg_declared_D_joint_E_joint,D_joint,E_joint,declared,1,1,declared_registered,dec_D_joint_E_joint_identity,"{""00"":""00"",""01"":""01"",""10"":""10"",""11"":""11""}",1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,declared_registered_recovery_ready
identity_channel,reg_declared_D_parity_E_parity,D_parity,E_parity,declared,1,1,declared_registered,dec_D_parity_E_parity_identity,"{""0"":""0"",""1"":""1""}",1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,declared_registered_recovery_ready
identity_channel,reg_declared_D_trivial_E_trivial,D_trivial,E_trivial,declared,1,1,declared_registered,dec_D_trivial,"{""*"":""*""}",1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,declared_registered_recovery_ready
identity_channel,reg_bad_declared_D_A_E_A,D_A,E_A,declared,0,0,registered,,,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,registered_not_recovered
identity_channel,reg_empty_D_joint_E_joint,D_joint,E_joint,declared,0,0,registered,,,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,registered_not_recovered
independent_bit_noise_81_9_9_1_channel,reg_declared_D_A_E_A,D_A,E_A,declared,0,0,registered,,,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,registered_not_recovered
independent_bit_noise_81_9_9_1_channel,reg_declared_D_B_E_B,D_B,E_B,declared,0,0,registered,,,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,registered_not_recovered
independent_bit_noise_81_9_9_1_channel,reg_declared_D_joint_E_joint,D_joint,E_joint,declared,0,0,registered,,,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,registered_not_recovered
independent_bit_noise_81_9_9_1_channel,reg_declared_D_parity_E_parity,D_parity,E_parity,declared,0,0,registered,,,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,registered_not_recovered
independent_bit_noise_81_9_9_1_channel,reg_declared_D_trivial_E_trivial,D_trivial,E_trivial,declared,1,1,declared_registered,dec_D_trivial,"{""*"":""*""}",1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,declared_registered_recovery_ready
independent_bit_noise_81_9_9_1_channel,reg_bad_declared_D_A_E_A,D_A,E_A,declared,0,0,registered,,,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,registered_not_recovered
independent_bit_noise_81_9_9_1_channel,reg_empty_D_joint_E_joint,D_joint,E_joint,declared,0,0,registered,,,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,registered_not_recovered
joint_cycle_channel,reg_declared_D_A_E_A,D_A,E_A,declared,0,0,registered,,,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,registered_not_recovered
joint_cycle_channel,reg_declared_D_B_E_B,D_B,E_B,declared,0,0,registered,,,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,registered_not_recovered
joint_cycle_channel,reg_declared_D_joint_E_joint,D_joint,E_joint,declared,0,0,registered,,,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,registered_not_recovered
joint_cycle_channel,reg_declared_D_parity_E_parity,D_parity,E_parity,declared,0,0,registered,,,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,registered_not_recovered
joint_cycle_channel,reg_declared_D_trivial_E_trivial,D_trivial,E_trivial,declared,1,1,declared_registered,dec_D_trivial,"{""*"":""*""}",1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,declared_registered_recovery_ready
joint_cycle_channel,reg_bad_declared_D_A_E_A,D_A,E_A,declared,0,0,registered,,,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,registered_not_recovered
joint_cycle_channel,reg_empty_D_joint_E_joint,D_joint,E_joint,declared,0,0,registered,,,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,registered_not_recovered
parity_preserved_scramble_channel,reg_declared_D_A_E_A,D_A,E_A,declared,0,0,registered,,,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,registered_not_recovered
parity_preserved_scramble_channel,reg_declared_D_B_E_B,D_B,E_B,declared,0,0,registered,,,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,registered_not_recovered
parity_preserved_scramble_channel,reg_declared_D_joint_E_joint,D_joint,E_joint,declared,0,0,registered,,,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,registered_not_recovered
parity_preserved_scramble_channel,reg_declared_D_parity_E_parity,D_parity,E_parity,declared,1,1,declared_registered,dec_D_parity_E_parity_identity,"{""0"":""0"",""1"":""1""}",1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,declared_registered_recovery_ready
parity_preserved_scramble_channel,reg_declared_D_trivial_E_trivial,D_trivial,E_trivial,declared,1,1,declared_registered,dec_D_trivial,"{""*"":""*""}",1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,declared_registered_recovery_ready
parity_preserved_scramble_channel,reg_bad_declared_D_A_E_A,D_A,E_A,declared,0,0,registered,,,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,registered_not_recovered
parity_preserved_scramble_channel,reg_empty_D_joint_E_joint,D_joint,E_joint,declared,0,0,registered,,,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,registered_not_recovered
parity_projector_channel,reg_declared_D_A_E_A,D_A,E_A,declared,0,0,registered,,,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,registered_not_recovered
parity_projector_channel,reg_declared_D_B_E_B,D_B,E_B,declared,0,0,registered,,,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,registered_not_recovered
parity_projector_channel,reg_declared_D_joint_E_joint,D_joint,E_joint,declared,0,0,registered,,,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,registered_not_recovered
parity_projector_channel,reg_declared_D_parity_E_parity,D_parity,E_parity,declared,1,1,declared_registered,dec_D_parity_E_parity_identity,"{""0"":""0"",""1"":""1""}",1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,declared_registered_recovery_ready
parity_projector_channel,reg_declared_D_trivial_E_trivial,D_trivial,E_trivial,declared,1,1,declared_registered,dec_D_trivial,"{""*"":""*""}",1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,declared_registered_recovery_ready
parity_projector_channel,reg_bad_declared_D_A_E_A,D_A,E_A,declared,0,0,registered,,,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,registered_not_recovered
parity_projector_channel,reg_empty_D_joint_E_joint,D_joint,E_joint,declared,0,0,registered,,,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,registered_not_recovered
swap_bits_channel,reg_declared_D_A_E_A,D_A,E_A,declared,0,0,registered,,,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,registered_not_recovered
swap_bits_channel,reg_declared_D_B_E_B,D_B,E_B,declared,0,0,registered,,,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,registered_not_recovered
swap_bits_channel,reg_declared_D_joint_E_joint,D_joint,E_joint,declared,0,0,registered,,,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,registered_not_recovered
swap_bits_channel,reg_declared_D_parity_E_parity,D_parity,E_parity,declared,1,1,declared_registered,dec_D_parity_E_parity_identity,"{""0"":""0"",""1"":""1""}",1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,declared_registered_recovery_ready
swap_bits_channel,reg_declared_D_trivial_E_trivial,D_trivial,E_trivial,declared,1,1,declared_registered,dec_D_trivial,"{""*"":""*""}",1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,declared_registered_recovery_ready
swap_bits_channel,reg_bad_declared_D_A_E_A,D_A,E_A,declared,0,0,registered,,,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,registered_not_recovered
swap_bits_channel,reg_empty_D_joint_E_joint,D_joint,E_joint,declared,0,0,registered,,,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,registered_not_recovered
