space,parent_rule_id,rule_id,control_type,ic_family,raw_persistence_score
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_center_only_projection,center_only_projection,random_uniform,0.0
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_center_only_projection,center_only_projection,sparse_active_010,0.0
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_center_only_projection,center_only_projection,sparse_active_025,0.0
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_center_only_projection,center_only_projection,single_active_1,0.0
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_center_only_projection,center_only_projection,single_active_2,0.0
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_center_only_projection,center_only_projection,two_cell_active,0.0
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_center_only_projection,center_only_projection,short_random_active_block,0.0
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_center_only_projection,center_only_projection,periodic_background_perturbation,0.0
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_left_neighbor_removed,left_neighbor_removed,random_uniform,0.0
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_left_neighbor_removed,left_neighbor_removed,sparse_active_010,0.0
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_left_neighbor_removed,left_neighbor_removed,sparse_active_025,0.0
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_left_neighbor_removed,left_neighbor_removed,single_active_1,0.0
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_left_neighbor_removed,left_neighbor_removed,single_active_2,0.0
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_left_neighbor_removed,left_neighbor_removed,two_cell_active,0.0
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_left_neighbor_removed,left_neighbor_removed,short_random_active_block,0.0
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_left_neighbor_removed,left_neighbor_removed,periodic_background_perturbation,0.0
q3_radius1,q3g3_s1_00009,q3g3_s1_00026,stratum_null_q3g3_s1_00026,random_uniform,0.10427832537977194
q3_radius1,q3g3_s1_00009,q3g3_s1_00026,stratum_null_q3g3_s1_00026,sparse_active_010,0.08777417567403019
q3_radius1,q3g3_s1_00009,q3g3_s1_00026,stratum_null_q3g3_s1_00026,sparse_active_025,0.0691036098478075
q3_radius1,q3g3_s1_00009,q3g3_s1_00026,stratum_null_q3g3_s1_00026,single_active_1,0.0
